"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"13/11","228","405","15","0","0","0","6","0"
"14/11","224","394","14","0","0","0","6","0"
"15/11","216","378","14","0","0","0","6","1"
"16/11","210","394","13","0","0","0","11","4"
"17/11","207","357","12","0","0","0","19","3"
"18/11","199","337","10","0","0","0","25","3"
"19/11","196","330","6","0","0","0","24","3"
"20/11","191","312","7","0","0","0","25","3"
"21/11","192","317","4","0","0","0","29","5"
"22/11","202","316","4","0","0","0","37","5"
"23/11","196","303","4","0","0","0","41","6"
"24/11","195","284","3","0","0","0","43","6"
"25/11","191","310","3","0","0","0","52","7"
"26/11","185","308","5","0","0","0","52","7"
"27/11","174","299","5","0","0","0","52","6"
"28/11","165","283","4","0","0","0","53","7"
"29/11","170","300","7","0","0","0","58","7"
"30/11","160","305","12","0","0","0","58","8"
"01/12","154","299","14","0","0","0","57","8"
"02/12","144","288","14","0","0","0","60","7"
"03/12","140","289","16","1","0","0","61","4"
"04/12","139","288","21","1","0","0","62","6"
"05/12","148","299","25","1","0","0","62","6"
"06/12","152","310","29","1","0","0","64","6"
"07/12","155","297","33","2","0","0","51","5"
"08/12","151","303","34","2","0","0","35","4"
"09/12","151","315","27","2","0","0","39","5"
"10/12","158","313","25","2","0","0","41","5"
"11/12","150","323","25","3","0","0","31","5"
"12/12","156","310","28","3","0","0","34","4"
"13/12","171","323","28","3","0","0","40","4"
"14/12","168","364","25","2","0","0","47","4"
"15/12","166","365","28","2","0","0","61","3"
"16/12","192","384","30","1","0","0","62","3"
"17/12","215","386","42","2","0","0","67","4"
"18/12","206","384","51","2","0","0","71","3"
"19/12","227","392","57","4","0","0","76","3"
"20/12","261","406","66","6","0","0","13","3"
"21/12","284","392","75","7","0","0","15","3"
"22/12","302","394","80","5","0","0","10","3"
"23/12","347","398","94","8","0","1","11","3"
"24/12","382","397","111","8","0","0","10","2"
"25/12","388","361","111","12","0","0","19","2"
"26/12","458","374","100","17","0","0","18","1"
"27/12","521","368","72","23","0","0","15","1"
"28/12","557","361","89","36","0","0","20","3"
"29/12","625","397","93","37","0","0","20","4"
"30/12","746","395","103","37","0","3","20","4"
"31/12","832","428","126","40","0","4","24","6"
"01/01","901","451","150","71","0","2","21","9"
"02/01","1066","472","170","82","0","2","26","9"
"03/01","1,204","491","180","94","0","2","21","11"
"04/01","1344","516","205","102","0","2","24","13"
"05/01","1491","591","275","125","0","4","21","16"
"06/01","1609","631","296","123","0","5","23","20"
"07/01","1738","644","327","144","0","8","19","24"
"08/01","1795","731","366","164","0","10","17","24"
"09/01","1927","752","402","176","0","15","24","27"
"10/01","2030","818","440","188","0","17","26","25"
"11/01","2186","861","529","211","0","18","32","28"
"12/01","2242","946","555","190","0","22","22","23"
"13/01","2383","953","586","225","0","23","33","24"
"14/01","2,527","976","589","246","0","24","37","27"
"15/01","2,576","1054","649","236","0","22","36","30"
"16/01","2,650","1114","670","220","0","22","44","41"
"17/01","2776","1229","702","227","0","21","39","52"
"18/01","2850","1152","819","285","0","25","43","63"
"19/01","2863","1173","835","294","0","29","53","60"
"20/01","2781","1206","850","290","0","31","57","62"
"21/01","2,743","1096","855","298","0","31","62","62"
"22/01","2,762","1029","884","276","0","31","63","63"
"23/01","2,712","1002","863","278","0","39","75","67"
"24/01","2,816","998","878","294","0","41","78","68"
"25/01","2,943","1057","928","287","2","35","72","67"
"26/01","2,794","1089","889","288","1","28","71","67"
"27/01","2,722","1057","829","288","2","24","95","73"
"28/01","2,737","988","818","285","3","19","105","66"
"29/01","2,693","953","833","283","2","17","111","61"
"30/01","2,663","889","745","289","1","20","121","62"
"31/01","2,779","873","821","281","1","16","114","62"
"01/02","2,749","851","868","273","1","16","132","64"
"02/02","2,623","768","837","233","1","13","129","61"
"03/02","2,578","752","820","226","1","13","141","63"
"04/02","2,494","707","798","223","0","13","148","65"
"05/02","2,337","687","789","218","0","10","151","63"
"06/02","2,321","652","726","218","1","11","158","60"
"07/02","2,099","638","724","224","1","15","158","57"
"08/02","2,068","575","705","204","1","15","178","55"
"09/02","1,906","542","686","210","1","15","174","54"
"10/02","1,795","543","633","206","1","17","168","51"
"11/02","1,716","553","584","210","0","16","164","50"
"12/02","1,650","487","538","213","0","17","170","51"
"13/02","1,614","465","496","211","0","10","164","50"
"14/02","1,649","465","514","214","0","12","164","51"
"15/02","1,583","441","491","219","0","10","156","49"
